review_description,bug_category,review_date,appVersion
piece of trash app absolutely useless whenever an add on is about to expire the app conveniently crashes or displays couldn t load the user details package details so i have na way of telling if the add on is over and whether i m using add on data or standard data,UI Issue,2024-01-09 09:45:30,1.7.0
when i submit otp code the app says app requires a working internet connection which you don t have at the moment hey i was connected to my slt router at the moment which i used to download the app a few moments ago,Other,2021-05-15 08:41:32,1.2.8
user interface is horrible sometimes it bugs when i purchase extra gb needed to be upgraded,UI Issue,2022-10-07 01:26:58,1.4.2
worst app i have ever seen you can t login with your old credentials always says invalid username password most of the main options are not working like bills internet etc it has terrible ui ux and functionality is totally messed up why is the app even released to playstore if the functionalities are not complete,Login Error,2021-05-27 09:22:40,1.2.8
earlier it was ok now the bill payment is not working why the developers are not seen this kind of things people are mentioning earlier also about this just to develop the software is not enough it should be up to date i don t know why these guys are what doing on their office time,Payment Issue,2020-10-13 09:51:55,1.0.5
i m trying to add my broadband connection but its says try later what at what did i want to try to add my connection to slt selfcare,Other,2020-09-26 20:37:04,1.0.4
the user interface is very frustrating to use can t find my package details even,UI Issue,2024-06-30 20:06:17,1.8.0
so many errors even can t see the bills,Payment Issue,2020-12-01 07:39:57,1.0.6
does not update the payments accurately,Payment Issue,2024-06-16 07:36:09,1.8.0
it keeps getting crashed and not recommending the service also worst app ever used,Crash/Freeze,2021-09-05 20:04:44,1.3.2
wrost app ever can t even log in to my account this is more than a garbage please don t install this it s a waste of time,Login Error,2021-06-05 16:33:09,1.3.2
please enhance the complaint section in the app by providing a status of the complaint successful failed when i tried to file a complaint using this app it did not give any feedback nor returned to the previous state therefore i clicked the submit button multiple times which resulted in multiple complaints please fix this,UI Issue,2021-06-02 14:54:49,1.3.0
still unable to pay bills via this myslt app some features not properly done,Payment Issue,2022-11-26 12:35:59,1.5.4
this app never works correctly every time i open it something is not right sometimes some features are not available altogether or there s some kind of a error message that make no sense at all i guess the only thing slt care about thses days are collecting bills increasing charges,Payment Issue,2023-02-01 19:46:51,1.5.9
click more data usage display error please change the slt package for view data usage,UI Issue,2021-06-19 20:55:18,1.3.2
can t we use myslt app s credentials for logging in than to create a new account you already have our login details this is misleading,Login Error,2020-05-21 07:05:36,1.0.0
worst app ever getting unavailable service all the time and application keeps getting stuck i would encourage you to work on your mobile app next time rather than giving shakaboom packages,Crash/Freeze,2023-02-01 00:11:36,
the new update is better keep it up with your rapid development one missing functionality is to reload the checking usage of the remaining data percentage size i have to close the app from the task menu and reopen it again to check the remaining data or usage but the add on data or extra gb data are getting refreshed when i go back and click on the button again the above issue is making super frustrated sometimes please add the reload feature pull to refresh thanks,UI Issue,2023-08-10 10:41:17,1.7.0
please add reloading option to this app i cant to reload to my prepid slt connection,Slow Performance,2023-08-23 12:33:51,1.7.0
did you get an unpaid intern to make this probably not an intern could do a much better job the payment gateway is awful can t even get the basic account details from the profile that s logged in,Payment Issue,2023-05-16 20:27:30,1.6.1
what a poor connection,Other,2022-11-26 09:58:51,1.5.2
service is too late there are dropouts thrice in a month takes 3 or 4 days to get connection,Other,2021-09-14 09:23:07,
poor app most of the functions not worked well otp not received on time e bill also not received to email,Payment Issue,2024-12-07 15:29:40,2.0.6
worst app ever cannot check broadband usage even though there s a link to it it says to download slt broadband why should we download another app after downloading myslt we should be able to check everything from one app slt broadband has a bug and even after entering the correct password it says wrong password we have to enter the same password 10 15 times to log in useless as ever slt is boasting about their quality but they cannot even make a properly functioning app shame,Login Error,2021-01-08 16:04:20,
another ewaste by slt mobitel app crashed every time i open it on my android 13 device or it says service temporary unavailable app sucks and often not responds to what i do ios version is still in okay condition but android needs a huge update idk why this huge tech companies make such use less apps like this my dialog is also such an waste and a bad reputation for the companies expected more from them update please,Crash/Freeze,2024-05-21 20:09:40,
cannot clearly see the history of bill amounts,Payment Issue,2021-09-27 16:34:53,1.3.2
first of all you have to sort out why gating crash and very slow i am using myslt out of sl,Crash/Freeze,2021-09-03 09:07:15,1.3.2
one of the worst company took 12 hours to get my 4g lte connection i have mailed so many times and this is a kind of time wastage,Other,2021-01-07 20:46:36,1.0.6
app bill details app developing zero,Payment Issue,2020-11-24 10:58:31,1.0.6
i paid for a fiber connection a week ago but still they have been unable to give the connection when i try to contact the responsible people they don t answer calls not recommend slt to anyone,Other,2024-10-16 17:35:14,2.0.2
poor app i failed to even sign up cause this stupid app keep saying i don t have working internet while i do,Payment Issue,2021-04-06 21:55:14,1.0.9
when i need to use you must offer to proceed without updating the app update should be optional not a must it cannot update with slow connections,Slow Performance,2021-10-11 20:27:14,1.3.2
horrible service and horrible app displays wrong information inaccurate data balance,UI Issue,2020-04-25 17:12:45,
it cant even pay bills,Payment Issue,2021-04-14 16:29:50,
worst app ever always service temporary unavailable or something thing wait wrong and also internet connection is the worst internet service provider,Slow Performance,2023-05-26 19:27:18,1.6.1
bad service 2 internet wada na complain damma damma eth na,Other,2022-08-07 21:04:55,1.4.2
one of the worst telecommunication provider telephone internet and peo tv connections were out of order since 2022 08 23 morning and complaint made at 6 43 am now its 9 20pm still the stupid technicians couldnt fix the problem i don t know why the company pay thees unskilled technicians missed the online classes of my kids had to postpone many work that i had to do cant watch the television is this the service you provide,Other,2022-08-23 21:24:22,1.4.2
very poor customer service and online payment portable repeatedly asking for information that we have already provided when we inquire about it no reply for weeks,Payment Issue,2022-09-11 09:47:27,1.4.2
useless app wrong bill details,Payment Issue,2021-06-12 21:35:40,1.3.2
connection change dropdown is not visible at the top,Crash/Freeze,2022-10-22 18:08:12,1.5.2
slt fibre wifi speed is low since oct 2024,Other,2024-10-17 21:57:07,2.0.2
a totally horrible app i did my bill payment everytime with the app but today i paid my bill but there s no otp or any privacy for the debit card payment it only says the transaction successful but when i check my last bill there s no update i checked with the slt customer service and they also not updated about the last transaction i m lucky to have the transaction id otherwise they will not believe,Payment Issue,2022-09-16 08:19:38,
a connection with a very weak internet service provider very sad contributor a relationship where the bill pays no valuable service,Payment Issue,2021-05-27 21:46:51,1.3.0
their connection speed gets so low due to higher user base so they can t have new users network speeds are so low that 3 seconds of hd video loads for 30 seconds and after thst 3 seconds it buffers for anlther 30 seconds,Other,2024-04-11 17:33:26,1.7.0
can t even change contact information edit the dev team behind this app have to be the most incompetent team of software devs on any app it s been a month and a half and they still haven t fixed the issue nice job,Crash/Freeze,2025-05-07 08:19:27,2.1.0
worst if i do not want to update now why do u push me worst experience,Update Issue,2023-01-27 23:13:37,1.5.4
whats the slt account number i have to enter i tried the phone connection number but it says incorrect,Other,2020-11-03 20:09:05,1.0.6
horrible app very slow have to wait like more than 15 min to see the data balance and to add extra gb please correct this don t check your valuable customer s patience,Slow Performance,2021-05-31 16:53:48,1.3.2
always say no internet or invalid username,Other,2020-12-24 21:27:54,1.0.6
a useless app with no updates and most of the links are not working tried removing and re installing with the same experience made a complaint but they have no clue whatvs wrong with their app,Update Issue,2025-05-06 00:29:40,
previous app is 1000 times better thani this that app was not worked today and i installed this app but this app is not really working well today i tried to add extra 3gb for my router and the add to bill command is not response worst app and further more i tried it for like 100th time and finally i got my extra gb,Payment Issue,2021-08-25 10:19:07,1.3.2
i ve been trying to update my email on the myslt app for nearly two months and every time i get the same message service temporarily unavailable it s beyond frustrating on top of that i no longer receive my monthly bill via email which makes things even more inconvenient this is a basic feature that should work properly and it s disappointing that slt hasn t fixed it after all this time please prioritize your users and sort these issues out,Payment Issue,2025-05-02 11:00:54,2.1.0
the worst app ever cant use the login or reset using forgot pwd option i installed this long time back removed since it was useless but installed this again only because slt said they ll discontinue the broadband app but sad to say no improvement at all used the google id to login but cant even add a connection the fact that such a defunct app is still listed in the playstore under slt brand is so damn unbelievable who are taking such poor decisions at slt,Login Error,2022-06-12 19:39:39,
you might say something like this app is consistently unreliable often displaying temporary service unavailable messages it seems like the developers haven t put in enough effort making it a waste of time please avoid this app,UI Issue,2024-09-13 13:40:18,1.8.0
now a days your wife connection is very slow,Slow Performance,2021-05-19 21:26:17,1.2.8
fail app,Payment Issue,2020-11-28 23:17:16,1.0.6
wanted i upgrade my internet package they promising that the app will provode efficient service but my request is still inprogress and now i cannot upgrade it by calling the call center they are saying that i need to wait because i have already requested it via my slt app nonsense,Slow Performance,2022-05-18 10:34:03,1.4.2
does absolutely nothing useful app s servers are down all the time cannot even view the bill or usage what even is the app for,Payment Issue,2024-04-16 06:04:35,1.7.0
one of the most useless apps ever used no way to contact support always displays inaccurate amount of gb amount,UI Issue,2020-04-13 12:48:42,
please make it more efficient app is not loading properly,Slow Performance,2023-05-30 19:57:15,1.6.1
as i wanted to pay my slt telephone bills from home via online i installed this myslt app last week since then i am trying many times to sign in to the app which is made necessary but to my dismay i was unable to do it due to faults of this app every time i try it and enter the required otp number which is sent to my email your message shows that it is wrong sometimes your message say that service is temporarily unavailable how can i get your service pay my bills i am disappointed,Login Error,2021-07-06 04:28:37,1.3.2
not user friendly cannot login previous app has been discontinued without informing the customer promptly painful experience,Login Error,2022-07-29 22:13:41,1.4.2
8000 lkr charged as romaing data usage while my phone turned off everyone please check bills properly these are bunch of thieves,Payment Issue,2021-08-06 08:01:48,1.3.2
very poor connection rude with customers cheating packages poor customer service they consider only about money,Other,2021-05-31 10:11:57,
always shows errors,Other,2025-04-10 14:15:09,
i ve been trying to enter my account for multiple time but it is still showing errors very poor build up,Other,2021-06-26 00:28:30,
can t log my stl account always says please try again later,Other,2021-06-20 07:41:41,1.3.2
i cant log also why dont u fix any,Other,2022-01-26 08:26:22,1.4.2
pleas fix that error ops smthing went wrong this message pops when ever i launch the app,Other,2024-01-05 15:32:25,1.7.0
not working properly always shows an error prompt when opened p s now there is no such an error still there is room to improve but overall it s usable,Other,2022-07-03 03:58:20,1.4.2
i can t register every time i try it says try again,Other,2021-12-04 19:13:14,1.4.1
error error error invalid password why you cannot make a app correctly,Other,2021-06-26 14:36:42,1.3.2
can t add a new account all details are correct but receiving a error,Other,2022-07-28 19:19:20,1.4.2
not working signup always showing error slt website also same,Other,2024-10-11 22:53:32,2.0.2
not working in my nokia 7 plus everytime show error,Other,2021-06-06 23:00:36,1.3.2
it s says cannot install,Other,2022-10-28 20:35:27,
bug bug bug,Other,2021-06-01 07:59:54,
can t even launch a stable app,Other,2020-05-22 11:36:07,1.0.0
did not receive otp in forgot my password then got an error message saying null,Other,2021-12-01 23:12:37,
error,Other,2023-02-03 17:23:10,1.6.0
unable to link my account stating some error occoured pls chk,Other,2020-05-21 00:53:30,1.0.0
everytime it get errors,Other,2023-01-31 14:41:10,1.5.9
errors errors errors,Other,2025-04-12 22:35:42,2.0.8
i have an ongoing complain that submitted last year they fixed the error but the complain still exist i cant submit a new complain because of it,Other,2023-05-20 17:35:08,1.6.1
unable to sync my broadband account error message saying the service is temporary unavailable totally unusable,Other,2020-07-02 10:02:57,1.0.0
unable to download the app,Other,2022-07-10 18:39:44,1.4.2
there is no customer service no way to resolve a problem tried for days but couldn t get through to a customer service associate no matter how many times i try to reset the password at least i don t get an e mail message,Other,2023-11-12 07:48:23,1.7.0
does not working correctly everytime it s temporary unavailable,Other,2021-07-04 08:32:26,1.3.2
i checked my details from 1212 but when i include those details its also showing error,Other,2021-06-26 17:41:18,
this app is freezing on galaxy s6 booting randomly useless,Other,2020-04-14 19:55:51,
bug bug bug bug,Other,2021-10-12 13:11:46,1.3.2
data missing bad service,Other,2020-04-17 14:12:14,1.0.0
application doesn t work,Other,2023-08-29 00:37:33,
sometimes this app service is not good please fix this error,Other,2023-02-02 12:54:43,1.6.0
no longer works on rooted devices,Other,2021-04-09 19:43:44,1.2.2
cannot enter id deatails,Other,2020-08-23 11:16:57,1.0.4
lot of bugs can t even log a complain due to various reasons from time to time,Other,2022-05-04 07:08:49,1.4.2
cannot log complaints very bad service always not able to do an action,Other,2024-01-05 20:13:09,1.7.0
most of the time it says service unavailable,Other,2023-12-01 19:26:16,1.7.0
it was working perfectly for the past two weeks it says either oops something went wrong try again later or service temporarily unavailable report same issue even after updating very disappointing,Other,2023-02-02 13:10:21,1.6.0
i downloaded yesterday and open it its only view err service temporary unavailable,Other,2021-05-26 04:46:02,1.3.0
unable to switch between accounts,Other,2022-11-13 08:58:16,1.5.2
worst app always giving errors,Other,2023-03-04 06:54:41,1.6.1
can t use not working fine so many bugs always temparary unavailable,Other,2023-08-31 19:27:33,
app is not installing,Other,2021-11-07 20:01:53,1.0.6
can not add data from debit card,Other,2021-08-31 11:04:17,1.3.2
app doesn t response correctly there is a popup message always comming up saying something went wrong,Other,2022-09-08 20:26:00,1.4.2
it doesn t work it won t even load,Other,2023-02-02 19:54:42,1.6.0
why it always says service temporary unavailable,Other,2023-08-15 13:59:25,1.6.1
getting an error for more than 2 weeks saying service temporary unavailable for all the pages i navigate,Other,2020-05-31 15:02:02,1.0.0
terrible ui app frequently breaks with various error messages,Other,2023-09-08 09:48:26,1.7.0
the app has not worked since yesterday which shows service temporarily unavailable messages,Other,2023-02-01 10:18:34,
service temporary unavailable from last week cannot use tha app,Other,2021-07-03 05:43:18,1.3.2
app isn t working,Other,2023-06-01 06:54:54,1.6.1
every time error,Other,2021-07-04 21:41:54,
the app doesn t work now says service temporarily unavailable fix it,Other,2023-02-02 10:29:53,
app always says something went wrong gb purchased history shows error and give wrong info,Other,2021-06-27 10:01:24,
service temporary unavailable please try again later,Other,2025-05-23 18:39:00,2.1.0
today i tried to open this but this is not working,Other,2023-02-02 21:21:17,1.6.0
slt email sending error comes,Other,2024-05-10 16:45:56,1.8.0
service temporary unavailable since last month,Other,2020-05-30 23:04:14,
not working most of the time,Other,2023-08-28 20:09:29,1.7.0
it is not working properly always says service error and more i can t even get that happy day data also its totally worst,Other,2023-02-01 14:27:09,1.5.9
after i added my 4g broad band account error message is popping out and say sorry account detail not available please fix this,Other,2020-06-12 00:54:17,1.0.0
service unavailable,Other,2023-05-30 21:06:50,1.6.1
not working for android 6 0,Other,2021-05-29 09:51:09,1.3.2
app does not work always a message comes as services will be available soon tried multiple times but no use will uninstall,Other,2021-05-07 09:31:29,1.2.8
useless app can t create an account not working,Other,2020-07-28 10:02:30,1.0.4
app does not work,Other,2021-04-10 07:34:16,1.2.2
cant even signup,Other,2021-09-18 21:26:00,
always service temporarily unavailable,Other,2024-05-07 22:10:03,1.8.0
ooops something went wrong pls try again shorty this is the most visible msg otherwise all the necessary items features are enabled but the main problem is most of the time provide above error app is really good if it is working well slt pls pay your attention,Other,2021-06-25 23:55:14,1.3.2
the app before with the blue app logo stopped working saying my username and password is incorrect so i uninstalled and installed this one but it says the same thing that my username and password is incorrect and there s no way for me to check my gb usage or atleast add ons i hope y all sort this out,Other,2022-07-05 21:40:35,
cant install to my phone huawei nova 7se 5g,Other,2021-09-22 23:41:25,1.0.6
too meny bugs and always showing service unavailable,Other,2021-09-01 00:38:32,1.3.2
i cannot log it always says usernam invalid which given by slt,Other,2021-05-28 22:15:39,1.3.2
this app is not working i entired my u name password show it invalid,Other,2021-09-22 10:04:00,
please kindly fix the current issue of the app it is showing service temporarily unavailable,Other,2020-05-28 08:09:40,1.0.0
always service temporary anavailable message appears,Other,2025-03-26 23:53:28,
the app is not working i can t join,Other,2020-12-15 23:40:06,
can t logging to this app this is really bad app,Other,2021-07-16 08:44:21,
this app is always reboots and randomly freezing in xiomi a2 bad experience,Other,2020-04-13 21:08:52,
app is not working it says my device is rooted and app not working on rooted devices my phone is never rooted and i have checked via few root checker tools an d device does not have root privileges please correct this bug redmit note 7 android ver 10 miui 12 5,Other,2022-10-21 10:04:28,1.5.2
always not working need to improve more most of time massage says app is not working try again shorty at that time uninstall re inatall app is working developper qc not verified properly app,Other,2021-06-01 06:19:42,1.3.2
in my slt app unable to fine my package details it s says package details unavailable in data it s says insufficient permissions why,Other,2025-05-01 09:25:48,2.1.0
some faults in the app,Other,2021-06-07 07:49:52,1.3.2
my device is rooted and this application is not working,Other,2021-07-06 22:42:49,1.3.2
not working on rooted devices lol,Other,2022-05-25 12:06:26,1.4.2
cannot register corporate accounts as nic number is not recognised,Other,2021-11-25 13:46:11,1.4.1
service not available,Other,2024-02-14 11:56:56,1.7.0
service not available,Other,2024-05-26 21:16:17,1.8.0
the worst app can t even sign up it keep saying the 6 digit code i enetered is null,Other,2021-09-21 14:48:54,1.3.2
service currently unavailable now 3 days,Other,2023-04-26 07:10:45,1.6.1
every time i try to load the app in the last couple of days it says that the service is temporarily unavailable it s been 2 days now and there hasn t been any fixes yet i can t even load the app to contact customer support this app is a waste of time,Other,2024-05-22 09:06:56,1.8.0
not working properly so frustrating and annoying,Other,2021-12-15 12:35:04,1.4.2
apo not working,Other,2021-05-09 18:24:05,1.2.8
unable to downgrade data package very poor attitude,Other,2023-01-25 21:24:00,1.5.9
oops somw thing went wrong keeps poping up no data is showing on the app,Other,2023-02-01 22:16:08,1.6.0
very bad app when i open the app always say there is a maintanance,Other,2024-05-27 02:47:05,
oops something went wrong please try again shorty,Other,2024-04-15 19:46:55,1.7.0
app is not functioning in rooted devices so fix this quickly,Other,2021-04-15 16:52:19,1.2.2
can t sing up,Other,2022-10-01 13:01:30,1.5.2
it s getting too much time to start the app when we want to open,Other,2021-08-26 01:37:08,1.3.2
registration process is a mess,Other,2021-05-20 17:51:35,1.2.8
always not working,Other,2022-07-03 10:01:38,1.4.2
not working,Other,2024-03-24 06:09:03,1.7.0
not working,Other,2024-03-05 10:40:09,1.7.0
not working,Other,2020-07-08 12:03:35,1.0.4
not working,Other,2025-04-18 09:39:56,1.7.0
not working,Other,2021-04-13 11:41:02,1.2.2
not working,Other,2021-04-07 09:51:14,1.0.6
not working,Other,2020-07-27 11:34:19,1.0.4
not working,Other,2020-07-11 07:37:23,1.0.4
mage school bb pakej eke account eka ad karama kisima dheyak pennanne naa sory details not available error ekak enawa,Other,2020-06-11 14:44:11,1.0.0
service is little bit late but good sevice important you should give us an option in my slt app to close the complain made by us becase after one of your team solved the issue and next day agin one of your team called me and ask about the issue if the app have an option to close the complain its good for you and good for us as well,Other,2021-08-19 14:18:36,1.3.2
even the otp code does not come correctly when i enter the otp code that comes in the email it always invalid tried several times app,Other,2022-10-14 01:16:43,1.5.2
history tab doesn t work,Other,2023-09-26 06:36:11,1.7.0
sao many bugs accounts not showing properly,Other,2020-06-18 07:25:21,1.0.0
garbage app can t find router data usage,Other,2024-08-04 12:42:32,
it shows service temporary unavailable,Other,2021-06-01 07:40:24,1.3.2
now i opened this why is service temporary unavailable,Other,2021-06-01 09:11:17,1.3.2
cannot add extra gb via this app now,Other,2023-04-24 20:41:28,1.6.1
it doesn t work i tried checking my remaining data but it always says something went wrong please try again later,Other,2024-01-04 01:00:09,1.7.0
very bad experience i request services upgrade two weeks before still i am not receiving any confirmation message and they are not consider the message coms from this application,Other,2020-06-29 18:05:12,1.0.0
have been trying to access the app for the past few days and it keeps saying unavailable i usually check my data there so so annoyed,Other,2021-04-20 16:17:36,1.2.2
happy day select system error router massage,Other,2024-04-11 21:21:03,
can t even logging at one attempt it shows my password as wrong user interfact is very confusing previous app is mych better than this,Other,2022-07-12 01:41:38,1.4.2
most of the time app is not working unavailable very bad app,Other,2025-05-21 12:21:09,
it is not working properly,Other,2023-04-10 08:26:03,1.6.1
youtube 7 days package cannot be unsubscribed in this app,Other,2021-11-21 11:52:06,1.4.1
not working properly,Other,2023-03-04 08:37:37,1.6.1
not working properly,Other,2022-01-04 15:10:27,1.4.2
when i adding complaint the app says the service is temporarily unavailable,Other,2021-07-24 22:10:01,1.3.2
the app is ok but the mesurment makes false as my 40 gb finishes in days 10 days so if you all can see why this happens otherwise everythings fine and fast,Other,2024-11-26 06:08:56,2.0.6
cant add account its no bad app plz fix all bugs,Other,2020-09-21 13:00:42,1.0.4
cannot report complaints from app,Other,2022-09-07 19:09:48,1.4.2
my slt app is not working in samsung android phone installed several times but same,Other,2021-04-22 11:15:15,1.2.2
i was not able upgrade the current package it is pending since last 2 weeks when i call 1212 they say email to 1212 if email they say use the bloody app nothing is get the job done your otp is never arrived also when i try to create an account your 1212 operators are also basically s worst in every possible way,Other,2022-06-15 15:49:30,1.4.2
bad service service down till morning now its near 4 hours application is down,Other,2024-08-07 11:18:14,1.8.0
not working always,Other,2023-02-02 11:09:57,1.6.0
always service temporary unavailable lol app,Other,2023-02-01 12:58:20,1.5.9
this app not working for android 8 1 0,Other,2021-04-28 06:54:28,1.2.2
full of errors,Other,2025-04-17 11:41:42,
the worst apication i ve ever seen service unavailable every time the app is opened,Other,2023-02-02 10:49:56,1.6.0
app is not functioning wrost app i ve ever seen saying tap to retry junk app,Other,2022-10-23 08:54:05,1.5.2
this app is always show various problems,Other,2021-10-09 20:42:53,1.4.1
not working on my opoo f17 device,Other,2024-12-18 11:39:54,1.7.0
this app is not working,Other,2021-04-17 18:18:26,
lot of bugs and inconsistencies,Other,2023-08-23 23:18:32,1.7.0
can t add extra gb using this app sometime it works but sometime it doen t it isn t consistent,Other,2024-03-28 19:01:57,1.7.0
not working properly this app is a garbage,Other,2022-04-29 12:02:23,1.4.2
this app hasn t been working since october,Other,2024-10-11 06:45:30,
request service upgrade option is not available,Other,2020-11-22 22:18:03,1.0.6
worst app ever it is always out of service and giving errors,Other,2021-09-01 00:41:50,1.3.2
bad service bad app,Other,2022-08-10 17:50:48,1.4.2
i sent a message saying my phone is not working i got massage saying your complaint was resolved but still my phone is not working,Other,2020-07-31 07:45:06,1.0.4
doesn t let me sign up,Other,2021-06-01 00:37:00,1.3.2
not working as expected i have only added my broadband account and it doesn t even show the account details instead it gives an error message saying sorry account details not available on the other hand why do you have two different self care apps merge both myslt app and slt selfcare app if i want to upgrade my broadband package that also not working i can t see any options to do so stop releasing buggy apps,Other,2020-07-07 10:25:07,1.0.4
very bad always showing something went wrong,Other,2023-05-30 22:52:19,1.6.1
buggy piece of sheet,Other,2023-02-02 08:01:00,1.5.9
ful bugs fix thanks,Other,2021-10-12 20:04:06,1.3.2
at most times it says that service temporary unavailable can t check or do anything at important times disappointed about the service,Other,2023-08-25 22:26:31,1.7.0
bad application,Other,2023-07-25 16:51:09,1.6.1
when i try to add extra gb app doesn t show anything,Other,2025-01-23 23:48:14,2.0.8
no good app app is not working properly,Other,2023-04-08 12:21:37,
is it just me or does the app stop working often i can t even access the app today for some reason says service will be available soon,Other,2024-04-28 11:08:38,
one of the wast app all the time showing something went wrong,Other,2023-01-31 21:08:41,1.5.9
worst app ever not working properly,Other,2022-10-08 13:57:43,
really good app but some time this app temporarily not available what is the reason,Other,2021-10-15 20:37:31,1.4.1
application can t attach a location please add the location picker to get exact location and can t submit complains too,Other,2021-07-04 23:57:25,1.3.2
can t make new complaints old complaints are still in progress even though they completed,Other,2024-06-26 18:40:47,1.8.0
can t create complain that feature is not working,Other,2022-09-19 21:14:18,1.4.2
this app is trash doesn t even let me add my accounts,Other,2022-07-07 08:37:24,1.4.2
can t make a complaint through the app this case is observed for recent few weeks,Other,2021-10-07 13:11:06,1.3.2
temporary unavailable for the past 1 week irritating,Other,2024-05-27 19:00:29,1.8.0
worst application ever cannot add an account cannot register even such a shame,Other,2023-09-01 15:46:17,1.7.0
bugs ooi youtube package eka activate karaganna baruwa pudhuma dhukak widhinne,Other,2022-11-21 23:48:41,1.5.2
worst service i got 15 gb and i didn t do anything but after 3 days data is almost finished,Other,2024-11-13 22:26:00,
useless app even can t submit otp at beginning,Other,2021-05-16 10:05:39,
can t pay online my add ons,Other,2021-10-04 11:43:32,
cannot add slt prepaid broadband number please fix,Other,2023-10-03 04:36:41,1.7.0
this app does not work properly could you fix it,Other,2024-01-09 07:55:34,1.7.0
some services are not available end of the month thank you,Other,2025-04-29 08:48:56,2.1.0
can t reload slt preapaid routers through app dissapointed,Other,2024-04-15 13:48:52,1.7.0
unprofessional crazy and unpractical app when registration started always say invalid username and invalid password but unfortunately still slt is sleeping without rectifying the app please do not insult your valuable customers since you are survive form them clearly shows careless and unconcern attention,Other,2021-05-03 09:07:20,1.2.8
your service very bad not working your apps sri lanka telecom services very poor,Other,2022-07-12 14:08:15,1.4.2
prepaid data not showing,Other,2025-01-19 01:12:22,2.0.8
kaspersky products section value added services is not working not only in the myslt app but also in the myslt web page please fix it,Other,2024-05-28 10:32:20,1.8.0
worse app unable to download poor service no reaction in call center westing our money and time i have to tranfer to the other brand,Other,2021-05-21 21:12:23,
first myslt stopped working and now this app gives a message stating service is not available what s the point of this app if it doesn t work,Other,2020-07-11 06:54:18,1.0.4
history tab previous package buying detals by date not working fix that as soon as possible,Other,2024-06-08 10:47:36,1.8.0
this app is not working properly unable to add my telephone number,Other,2021-02-16 20:31:41,1.0.6
youth add on 7 days package don t work,Other,2023-05-21 16:16:54,1.6.1
installed and after i was going to connect my land no with my router they say my id is incorrect i checked my id 100th times but not useful,Other,2022-09-23 11:57:03,1.4.2
not connect,Other,2022-11-18 20:37:33,
worst app i ever experienced among all telecommunication company softwares full of errors which newer resolved even subscribe some services such as protocol reports that also full of issues and sometimes it doesn t even show the details and take days to fix it,Other,2024-09-04 17:38:27,1.8.0
not work every day problum this apps,Other,2023-02-16 12:54:30,
horrible no usage systems work nothing works,Other,2023-01-07 23:24:44,1.5.4
half of the services are unavailable poor service no quick access no responses shittttts,Other,2023-01-03 23:19:28,1.5.8
not open this app,Other,2021-07-14 19:51:46,1.3.2
not open this app,Other,2021-11-27 21:27:37,
something wrong in the app as i don t find my all accounts on front page fix this,Other,2022-10-08 16:28:24,1.5.2
poor quality some of times isnt respond,Other,2021-06-25 08:36:45,1.3.2
very poor experience full of bugs,Other,2025-05-20 20:46:47,2.0.8
the most stupid app ever met never expect this kind of error in slt,Other,2021-04-27 07:32:34,1.2.2
not satisfied at all although you reset the password and retype it again says invalid username and password where s the support team here terrible this app,Other,2025-04-25 19:38:33,2.1.0
poor condition not working properly,Other,2020-10-21 21:37:11,1.0.6
terrible app when i open the app always it always say service temporary unavailable can t get any services from the app as a leading telecommunication company in the country slt should ashamed their self about this app,Other,2022-09-06 19:33:50,1.4.2
can t even make a complaint via app,Other,2023-01-14 17:10:10,1.5.9
can not subscribe,Other,2020-11-11 22:11:09,1.0.6
the add extra gb option doesn t work,Other,2022-07-26 21:40:10,1.4.2
you guys are real fakers i mean my 165gb package got over within 10 days when i m not even at home for a week and it got over at night when i m usually sleep shame on you,Other,2020-10-11 22:14:40,1.0.5
how can i get my user id password,Other,2020-08-14 11:30:40,1.0.4
to hell with the ui cause it did the job but lately app is basically oops something went wrong try again shortly doesn t even do the job anymore,Other,2024-01-03 22:36:21,1.7.0
very poor application,Other,2023-02-02 22:17:25,
leda godkne htto ponna slt errors errors carry pnnyo ape salli walin kanawa bonawa app eka hdpn hutto nattn mn branch ekata awith router eka kudu krnwa,Other,2025-04-17 22:24:01,2.0.8
functions aren t properly used 5,Other,2023-02-01 23:20:21,1.6.0
app is barely holding daily usage section does not work no details about data add ons intentionally removed important details such as what are the requirements to use data addons,Other,2023-12-24 22:36:29,1.7.0
this app has a lot of issues and doesn t work as expected,Other,2025-04-21 23:53:00,2.1.0
this app is not working for sometime now when will you be fixing it,Other,2022-12-07 12:07:13,1.5.2
buggy app,Other,2023-11-18 22:18:24,
this app is useful but some times unable to add extra gb try to fix this problem,Other,2021-10-28 19:06:32,1.4.1
worst app i ve ever seen it cannot verify my otp even says invalid poor customer service,Other,2021-09-22 21:38:39,1.3.2
worst app doesn t even work,Other,2022-07-09 10:07:38,1.4.2
so much errors,Other,2023-04-10 19:41:26,1.6.1
many options are not enabled to work properly or the options lack proper direction to get help from slt,Other,2020-12-11 06:48:10,1.0.6
not work my slt app,Other,2021-05-31 11:14:55,1.3.2
useless app doesn t work most of the time,Other,2020-10-27 19:47:56,1.0.6
when i click pay its showing phone number and i enter amount and continue and then again it s asking for all the details to pay please pass the details from mobile app to the web form,Other,2021-11-15 00:32:03,1.4.1
